Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Ziggurat (2012),17/2/2012,Action Button Entertainment,Freshuu Inc.,Action,Not Rated,6.9,14,iOS (iPhone/iPad)
4X4 EVO 2,15/11/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,6.894852313,,Xbox
MotoGP 2 (2001),22/1/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,PlayStation 2
Gothic 3,14/11/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,PC
Siege Survival: Gloria Victis,18/5/2021,FishTankStudio,Black Eye Games,RPG,Not Rated,6.5,10,PC
Guitar Hero III: Legends of Rock,28/10/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,Wii
Frantix: A Puzzle Adventure,19/9/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,6.894852313,,PSP
Xenoraid,8/11/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,PlayStation 4
The Sims: Livin' Large,27/8/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,PC
Retrovirus,16/11/2012,Cadenza,Cadenza,FPS,Not Rated,6.6,20,PC
Til Morning's Light,20/5/2015,WayForward,Amazon Game Studios,Action,Not Rated,6.4,7,iOS (iPhone/iPad)
The Political Machine 2012,31/7/2012,Stardock,Stardock,Turn-Based Strategy,Not Rated,6.5,30,PC
"Warhammer 40,000: Space Marine",6/9/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,PC
Star Wars Episode III: Revenge of the Sith,4/5/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,PlayStation 2
Saints Row IV,19/8/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,PC
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,GameCube
Lost Orbit,12/5/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,PC
SwapQuest,23/2/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,iOS (iPhone/iPad)
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,PC
Lumines,22/3/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,PSP
Armored Core 3,5/9/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,PlayStation 2
Amped 2,28/10/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9,Xbox
Sword of the Stars II: Lords of Winter,28/10/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134,PC
Buzz! Junior: Dino Den,22/2/2008,Cohort Studios,SCEE,Trivia,Not Rated,6.894852313,,PlayStation 2
Neon White,16/6/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,190,Nintendo Switch
BlazBlue: Continuum Shift Extend,14/2/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,102,PlayStation Vita
Cosmic Star Heroine,14/8/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,33,PlayStation 4
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,21/3/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,11,PlayStation 5
MXGP: The Official Motocross Videogame,18/11/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,14,PlayStation 3
Mortal Kombat XL,1/3/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,672,Xbox One
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,27,PlayStation 3
Silent Hunter 5: Battle of the Atlantic,2/3/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,46,PC
Saban's Power Rangers Megaforce,5/11/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,12,3DS
Block Fortress,7/3/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
WWE 2K14,29/10/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,128,Xbox 360
Murder by Numbers,6/3/2020,Mediatonic,The Irregular Corporation,Visual Novel,Not Rated,6.7,23,PC
Ratchet & Clank: Size Matters,13/2/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8,191,PSP
Unepic,16/1/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,58,PC
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,28/11/2006,EA LA,EA Games,Real-Time Strategy,Rated T For Teen,8.8,129,PC
MLB The Show 18,27/3/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,6.3,103,PlayStation 4
Smelter,22/4/2021,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,,PlayStation 4
Ninjatown: Trees Of Doom!,5/5/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
The Mage's Tale,20/6/2017,InXile Entertainment,InXile Entertainment,Adventure,Rated T For Teen,7.5,12,PC
The Witcher 3: Wild Hunt - Blood and Wine,30/5/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,9.1,4208,PC
Port Royale 4,25/9/2020,Gaming Minds Studios,Kalypso,Management,Rated E +10 For Everyone +10,5.2,17,PC
Just Dance 2024 Edition,24/10/2023,Ubisoft,Ubisoft,Dancing,Rated E For Everyone,5.1,15,Nintendo Switch
Dying Light,27/1/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,2143,Xbox One
Tempo (2015),11/2/2015,Splash Damage,WARCHEST LIMITED,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Conflict: Desert Storm,22/4/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,6,Xbox
Cut the Rope: Time Travel,18/4/2013,ZeptoLab,ZeptoLab,Logic Puzzle,Not Rated,7,12,iOS (iPhone/iPad)
Exerbeat,17/5/2011,Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7,7,Wii
Far Cry 3: Blood Dragon,1/5/2013,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,413,Xbox 360
Yu-Gi-Oh! World Championship 2007,20/3/2007,Konami,Konami,Card Battle,Rated E For Everyone,7,20,DS
MotoGP 2,21/5/2003,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,,Xbox
Bug Heroes 2,19/2/2014,,,Action,Not Rated,6.1,8,iOS (iPhone/iPad)
Swing Away Golf,25/10/2000,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,6.894852313,,PlayStation 2
Counter-Strike: Source,7/10/2004,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,1352,PC
Super Crush K.O.,16/1/2020,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,13,Nintendo Switch
Allegiance,31/3/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,18,PC
Harry Potter and the Prisoner of Azkaban,2/6/2004,EA Games,EA Games,Action Adventure,Rated E For Everyone,8,62,PC
World of Final Fantasy,25/10/2016,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,411,PlayStation 4
Star Wars: Bounty Hunter,19/11/2002,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,43,PlayStation 2
Half-Life,19/11/1998,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,4847,PC
Vader Immortal: Episode I,21/5/2019,ILMxLab,Disney Interactive Studios,First-Person Adventure,Not Rated,7,14,PC
Pool Panic,19/7/2018,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7,14,Nintendo Switch
The Scourge Project: Episodes 1 and 2,9/4/2010,Tragnarion Studios,BITBOX S.L.,FPS,Not Rated,3.5,17,PC
Bejeweled Twist,27/10/2008,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,14,PC
Jak II,14/10/2003,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454,PlayStation 2
Senran Kagura Reflexions,13/9/2018,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,49,Nintendo Switch
World War II Online: Blitzkrieg,4/6/2001,Cornered Rat,Strategy First,FPS,Rated T For Teen,6.894852313,,PC
Arena of Valor,25/9/2018,TiMi Studios,Tencent,MOBA,Not Rated,6.7,60,Nintendo Switch
MLB 2006,8/3/2005,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,6.894852313,,PlayStation 2
Majesty 2: Kingmaker,26/3/2010,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,10,PC
Bird Mania 3D,3/5/2012,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,19,3DS
Heavy Fire: Red Shadow,16/10/2018,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,10,Xbox One
TRON RUN/r,16/2/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,22,PC
Traitors Gate,30/4/2000,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,5,PC
Resident Evil: Revelations,7/2/2012,Capcom,Capcom,Survival,Rated M For Mature,8.4,577,PlayStation 3
MechWarrior 4: Black Knight Expansion,31/10/2001,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,6.8,8,PC
Wallace & Gromit in Project Zoo,7/10/2003,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,39,Xbox
Crusty Demons,27/6/2006,Climax Studios,Evolved Games,Arcade Racing,Rated M For Mature,6.894852313,,Xbox
N.O.V.A. 2 - Near Orbit Vanguard Alliance,16/12/2010,Gameloft,Gameloft,FPS,Not Rated,6.8,18,iOS (iPhone/iPad)
Dark Arcana: The Carnival,17/3/2017,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,6.894852313,,Xbox One
Regalia: Of Men and Monarchs,18/5/2017,Pixelated Milk,Klabater,Turn-Based Tactics,Not Rated,7.7,39,PC
Train Fever,4/9/2014,Urban Games,Gambitious,Train Sim,Not Rated,6.9,93,PC
Star Trek: Elite Force II,25/6/2003,Ritual Entertainment,Activision,FPS,Rated T For Teen,8,40,PC
Street Supremacy,28/2/2006,Genki,Konami,Auto Racing Sim,Rated E For Everyone,6.894852313,,PSP
Tales of Symphonia Remastered,17/2/2023,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,3.8,23,Nintendo Switch
War for the Overworld,2/4/2015,Subterranean Games,Subterranean Games,Real-Time Strategy,Not Rated,7.9,132,PC
Super Smash Bros. Ultimate,7/12/2018,Nintendo,Nintendo,2D Fighting,Rated E +10 For Everyone +10,8.6,4133,Nintendo Switch
Lotus Challenge,30/4/2003,Kuju Entertainment,Xicat Interactive,Auto Racing Sim,Rated E For Everyone,6.894852313,,Xbox
The Sims 2: Nightlife,13/9/2005,Maxis,EA Games,Virtual Life,Rated T For Teen,4.2,35,PC
Insurgency: Sandstorm,12/12/2018,New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,8,250,PC
Yo-kai Watch,6/11/2015,Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,8.1,220,3DS
The Great Circus Mystery Starring Mickey & Minnie,12/11/2003,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,6.894852313,,Game Boy Advance
MechCommander 2,18/7/2001,Microsoft Game Studios,Microsoft Game Studios,Strategy,Rated T For Teen,7.8,33,PC
Pirates vs Ninjas Dodgeball,3/9/2008,Blazing Lizard,SouthPeak Games,Individual Sports,Rated E +10 For Everyone +10,8,,Xbox 360
After Us,23/5/2023,Piccolo,Private Division,Action Adventure,Rated T For Teen,6,31,PlayStation 5
Gigantic Army,5/2/2014,Astro Port,Nyu Media,Action,Not Rated,6.7,10,PC
SaGa Scarlet Grace: Ambitions,3/12/2019,Square Enix,Square Enix,JRPG,Rated T For Teen,6.3,16,Nintendo Switch
Haven Park,5/8/2021,Bubble Studio,Mooneye Studios,Third-Person Adventure,Rated E For Everyone,7.5,11,PC
Capsized,5/7/2013,Koolhaus Games,Namco Bandai Games,2D Platformer,Rated T For Teen,6.8,20,Xbox 360
Pipe Mania,26/9/2008,Razorworks,Empire Interactive,Action Puzzle,Rated E For Everyone,6.894852313,,DS
The Godfather,21/3/2006,Page 44 Studios,Electronic Arts,Open-World Action,Rated M For Mature,8.1,14,PC
Raiden IV x Mikado Remix,31/1/2023,Moss,NIS America,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.894852313,,Nintendo Switch
Frostpunk,24/4/2018,11 bit studios,Merge Games,Management,Rated M For Mature,8.4,1009,PC
Phantasy Star Universe,25/10/2006,Sonic Team,Sega,Action RPG,Rated T For Teen,7.1,23,PlayStation 2
Disney/Pixar Toy Story Racer,5/3/2001,Traveller's Tales,Activision,Auto Racing,Rated E For Everyone,8,22,PlayStation
Harry Potter for Kinect,9/10/2012,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,4.7,21,Xbox 360
Narco Terror,31/7/2013,Koch Media,Deep Silver,Third Person Shooter,Rated M For Mature,5.9,13,Xbox 360
Medieval Dynasty,17/12/2020,Render Cube,Toplitz Productions,Survival,Rated T For Teen,6.4,83,PC
Max: The Curse of Brotherhood,20/12/2013,Press Play,Microsoft Game Studios,Action Adventure,Rated E +10 For Everyone +10,7.4,309,Xbox 360
Need for Speed: ProStreet,15/11/2007,EA Black Box,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,7,73,Xbox 360
Saints Row IV: Re-Elected & Gat Out of Hell,20/1/2015,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,6.6,48,Xbox One
Monster Jam Steel Titans 2,2/3/2021,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,4.6,5,Xbox One
Picross S 3,25/4/2019,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,8.3,14,Nintendo Switch
Mighty Goose,5/6/2021,Blastmode,Playism,2D Platformer,Rated E +10 For Everyone +10,7.5,13,Nintendo Switch
World War II: Frontline Command,27/6/2003,The Bitmap Brothers,Strategy First,Real-Time Strategy,Rated T For Teen,6,,PC
Vempire,22/10/2009,impressionware,impressionware,Logic Puzzle,Rated E For Everyone,6.894852313,,PSP
World War II: Prisoner of War,26/8/2002,Wide Games,Codemasters,Third Person Shooter,Rated T For Teen,5.5,,PC
ESPN Final Round Golf 2002,28/8/2001,Konami Computer Entertainment Nagoya,Konami,Golf Sim,Rated E For Everyone,6.894852313,,Game Boy Advance
Tak and the Power of Juju,15/10/2003,Avalanche Software,THQ,3D Platformer,Rated E For Everyone,7.6,12,PlayStation 2
Game of Thrones,15/5/2012,Cyanide,Atlus,Western RPG,Rated M For Mature,5.2,130,PlayStation 3
Where's My Perry?,28/6/2012,,,Puzzle,Rated RP For Rate Pending,6.6,9,iOS (iPhone/iPad)
Bleach: The Blade of Fate,9/10/2007,Treasure,Sega,2D Fighting,Rated T For Teen,6.1,19,DS
EGGLIA Rebirth,10/2/2022,Brownies,Brownies,JRPG,Rated E For Everyone,6.894852313,,Nintendo Switch
Wonderputt,13/9/2012,Damp Gnat Ltd,Damp Gnat Ltd,Adventure,Not Rated,6.894852313,,iOS (iPhone/iPad)
Crazy Taxi (1999),24/11/2010,Hitmaker,Sega,Auto Racing,Rated E +10 For Everyone +10,7.3,30,PlayStation 2
Commanders: Attack,13/2/2008,Southend Interactive,Sierra Online,Turn-Based Tactics,Rated E +10 For Everyone +10,8,5,Xbox 360
Nostradamus: The Last Prophecy,30/9/2007,Kheops Studio,MC2 Entertainment,Adventure,Rated E +10 For Everyone +10,6.4,11,PC
Avatar: Frontiers of Pandora,7/12/2023,Massive Entertainment,Ubisoft,Open-World Action,Rated T For Teen,7.7,599,PC
Biomutant,25/5/2021,Experiment 101,THQ Nordic,Action RPG,Rated T For Teen,6.3,508,Xbox One
Killzone: Liberation,31/10/2006,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,112,PSP
Undertow,21/11/2007,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,5.5,11,Xbox 360
New Tales from the Borderlands,21/10/2022,Gearbox Software,2K Games,Adventure,Rated M For Mature,3.8,72,PC
Jeremy McGrath's Offroad,27/6/2012,2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,5.7,10,Xbox 360
Shadow of the Beast,17/5/2016,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Rated M For Mature,7.3,169,PlayStation 4
Waking Mars,1/3/2012,Tiger Style,Tiger Style,2D Platformer,Not Rated,6.7,12,iOS (iPhone/iPad)
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,13/4/2023,Creative Assembly,Sega,Real-Time Tactics,Not Rated,6.2,19,PC
1979 Revolution: Black Friday,4/4/2016,iNK Stories,iNK Stories,Adventure,Not Rated,7.5,85,iOS (iPhone/iPad)
Two Worlds II,25/1/2011,Reality Pump,SouthPeak Games,Action RPG,Rated M For Mature,6.5,150,PC
Mega Man X: Command Mission,21/9/2004,"Valuewave Co.,Ltd.",Capcom,JRPG,Rated E For Everyone,7.5,36,PlayStation 2
Square Planet,17/10/2012,Majaka,Majaka,2D Platformer,Not Rated,6.894852313,,iOS (iPhone/iPad)
Command & Conquer: Red Alert 2,21/10/2000,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.8,508,PC
Valiant Hearts: Coming Home,1/2/2023,Old Skull Games,Netflix,2D Platformer,Not Rated,6.9,8,iOS (iPhone/iPad)
Earthfall,13/7/2018,Holospark,Holospark,Tactical FPS,Rated T For Teen,5.7,15,PlayStation 4
Speed Zone,18/8/2009,Awesome Play Ltd.,Detn8,Future Racing,Rated E For Everyone,5.3,,Wii
Floodland,15/11/2022,Vile Monarch,Ravenscourt,Management,Not Rated,5.3,8,PC
FlatOut: Ultimate Carnage,2/10/2007,Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Rated T For Teen,8.4,39,Xbox 360
Saints Row: The Third Remastered,22/5/2020,Sperasoft,Deep Silver,Open-World Action,Rated M For Mature,7,111,Xbox One
Psychonauts in The Rhombus of Ruin,21/2/2017,Double Fine Productions,Double Fine Productions,Action,Rated E +10 For Everyone +10,7.4,41,PlayStation 4
Master of Illusion,26/11/2007,Eighting,Nintendo,Application,Rated E For Everyone,6.894852313,,DS
Nintendogs: Chihuahua & Friends,22/8/2005,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,5,29,DS
StarCraft 64,12/6/2000,Mass Media,Nintendo,Command RTS,Rated T For Teen,6.8,39,Nintendo 64
Human Resource Machine,15/10/2015,Tomorrow Corporation,Tomorrow Corporation,Puzzle,Not Rated,8,48,PC
Cities XL,8/10/2009,Monte Cristo,Focus Home Interactive,Management,Rated E For Everyone,5,31,PC
Rocky and Bullwinkle,16/4/2008,Zen Studios,Microsoft Game Studios,Party,Rated E For Everyone,4.8,5,Xbox 360
Mighty Morphin Power Rangers: Mega Battle,17/1/2017,Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,7.6,58,PlayStation 4
EVE Online,6/5/2003,CCP,Simon & Schuster,MMORPG,Rated T For Teen,6.7,307,PC
Assault Suits Valken Declassified,30/3/2023,M2,Rainmaker Productions,Horizontal Shoot-'Em-Up,Not Rated,6.894852313,,Nintendo Switch
MotoGP 3,17/3/2003,Namco,Namco,Auto Racing Sim,Rated E For Everyone,8.3,7,PlayStation 2
Sam & Max Episode 105: Reality 2.0,29/3/2007,Telltale Games,GameTap,Point-and-Click,Not Rated,7.1,19,PC
Call of Duty: Black Ops,9/11/2010,Treyarch,Activision,Tactical FPS,Rated M For Mature,6.8,1910,PC
Space Miner: Space Ore Bust,5/2/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",RPG,Not Rated,5.8,5,iOS (iPhone/iPad)
Pushmo,8/12/2011,Intelligent Systems,Nintendo,Action Puzzle,Rated E For Everyone,8.3,217,3DS
1001 Spikes,3/6/2014,Nicalis,Nicalis,2D Platformer,Rated T For Teen,6.5,37,3DS
Vanquish,19/10/2010,PlatinumGames,Sega,Third Person Shooter,Rated M For Mature,9.6,1907,PlayStation 3
Pro Evolution Soccer 2011,19/10/2010,Konami,Konami,Soccer Sim,Rated E For Everyone,6.4,43,PlayStation 3
Excitebots: Trick Racing,20/4/2009,Monster Games Inc.,Nintendo,Auto Racing,Rated E For Everyone,7.4,16,Wii
Dance Dance Revolution Disney Mix,18/9/2001,Konami,Konami,Dancing,Rated E For Everyone,6.894852313,,PlayStation
Da New Guys: Day of the Jackass,29/2/2012,ICEBOX Studios,Wadjet Eye Games,Point-and-Click,Not Rated,5.8,8,PC
Septerra Core: Legacy of the Creator,31/10/1999,Valkyrie Studios,Monolith Productions,RPG,Rated T For Teen,7.6,74,PC
Speedball 2 HD,5/12/2013,Vivid Games,Mastertronic,Future Sport,Not Rated,3.8,21,PC
One Piece: Unlimited Cruise SP,26/5/2011,Bandai Namco Games,Bandai Namco Games,Action,Not Rated,6.8,18,3DS
Marvel: Ultimate Alliance,24/10/2006,Raven Software,Activision,Action RPG,Rated T For Teen,7.9,113,Xbox 360
Toy Home,20/12/2007,Game Republic,SCEA,Auto Racing,Rated E For Everyone,4.8,,PlayStation 3
Laser League,10/5/2018,roll7,505 Games,Future Sport,Rated E +10 For Everyone +10,6.2,34,PC
NightCry,29/3/2016,"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Rated M For Mature,8.4,5,PC
Mystical Ninja starring Goemon,16/4/1998,KCEO,Konami,Open-World Action,Rated E For Everyone,8.5,48,Nintendo 64
Myth: The Fallen Lords,31/10/1997,Bungie,Bungie,Real-Time Strategy,Rated M For Mature,8.4,101,PC
Quantum Error,3/11/2023,TeamKill Media LLC,TeamKill Media LLC,FPS,Rated M For Mature,3.5,63,PlayStation 5
Mafia II: Definitive Edition,19/5/2020,Hangar 13,2K Games,Open-World Action,Rated M For Mature,5.9,503,PlayStation 4
The Red Lantern,22/10/2020,Timberline Studio,Timberline Studio,Survival,Rated T For Teen,5,10,Nintendo Switch
Caveman Warriors,5/12/2017,JanduSoft,JanduSoft,2D Platformer,Rated E +10 For Everyone +10,5.6,7,Xbox One
Final Fantasy V,6/11/2006,TOSE,Nintendo,JRPG,Rated E For Everyone,8.1,84,iOS (iPhone/iPad)
Sunset Overdrive and the Mystery of the Mooil Rig!,23/12/2014,Insomniac Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,7.1,35,Xbox One
From Dust,27/7/2011,Ubisoft Montpellier,Ubisoft,Strategy,Rated E +10 For Everyone +10,7.6,90,Xbox 360
Kill Strain,12/7/2016,SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Rated T For Teen,7.2,31,PlayStation 4
Kingdom Under Fire: Heroes,20/9/2005,Phantagram,Microsoft Game Studios,Real-Time Strategy,Rated M For Mature,6.9,18,Xbox
All Walls Must Fall,8/8/2017,inbetweengames,inbetweengames,Real-Time Tactics,Not Rated,6.894852313,,PC
Wanted Corp,6/12/2011,EKO Software,Zoo Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,6.894852313,,PlayStation 3
Mini Ninjas Adventures,29/6/2012,Side Kick LTD,Square Enix,Action,Rated E +10 For Everyone +10,8,,Xbox 360
Jim Henson's Muppets Party Cruise,13/11/2003,Mass Media,TDK Mediactive,Party,Rated E For Everyone,7.8,,PlayStation 2
Drake of the 99 Dragons,3/11/2003,Idol FX,Majesco,Third Person Shooter,Rated T For Teen,1.8,29,PC
The Outlast Trials,5/3/2024,Red Barrels,Red Barrels,Survival,Not Rated,6.894852313,,PC
Before We Leave,13/5/2021,Balancing Monkey Games,Team17,Management,Not Rated,7.5,37,PC
Sayonara UmiharaKawase +,21/4/2015,Studio Saizensen,Agatsuma Entertainment,2D Platformer,Rated E For Everyone,8.2,13,PC
Dark Void Zero,18/1/2010,Other Ocean Interactive,Capcom,2D Platformer,Rated E For Everyone,5.7,7,PC
Sonic the Hedgehog 2,20/2/2020,M2,Sega,2D Platformer,Rated E For Everyone,8.2,44,3DS
Reign of Fire,22/10/2002,Kuju Entertainment,Bam Entertainment,Third Person Shooter,Rated M For Mature,6.8,,Xbox
IndyCar Series,21/5/2003,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,6.894852313,,PC
Dance Dance Revolution Extreme,21/9/2004,KCET,Konami,Dancing,Rated E For Everyone,4,,PlayStation 2
The Lord of the Rings: Return to Moria,24/10/2023,Free Range Games,North Beach Games,Sandbox,Rated T For Teen,7.1,105,PC
Golf: Tee It Up!,9/7/2008,Housemarque,Activision,Golf,Rated E For Everyone,6.894852313,,Xbox 360
Broken Sword: Shadow of the Templars,24/3/2009,Revolution Software,Ubisoft,Point-and-Click,Rated T For Teen,8.9,15,iOS (iPhone/iPad)
Mechanic Master,21/10/2008,Most Wanted Entertainment,Midway,Puzzle,Rated E For Everyone,6.894852313,,DS
Gel: Set & Match,20/5/2009,Gastronaut Studios,Gastronaut Studios,Action Puzzle,Rated E For Everyone,6.894852313,,Xbox 360
Grow Up,16/8/2016,Ubisoft Reflections,Ubisoft,Open-World Action,Rated E For Everyone,6.6,37,PlayStation 4
God of War: Chains of Olympus,4/3/2008,Ready at Dawn,SCEA,Linear Action Adventure,Rated M For Mature,8.6,1047,PSP
Aliens vs. Predator: Requiem,13/11/2007,Rebellion,Sierra Entertainment,Action Adventure,Rated T For Teen,8.5,80,PSP
Ratchet & Clank,4/11/2002,Insomniac Games,SCEA,3D Platformer,Rated T For Teen,8.8,520,PlayStation 2
Age of Empires: Mythologies,24/11/2008,Griptonite Games,THQ,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,43,DS
Republic: The Revolution,27/8/2003,Elixir Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,6,11,PC
BAFL: Brakes Are For Losers,19/4/2018,Oudidon,Oudidon,Auto Racing,Rated E For Everyone,6.894852313,,Nintendo Switch
Grand Prix Challenge,3/3/2003,Melbourne House,Infogrames,Auto Racing Sim,Rated E For Everyone,6.894852313,,PlayStation 2
Vanishing Point,3/1/2001,Clockwork Games,Acclaim,Auto Racing,Rated E For Everyone,8.2,11,Dreamcast
Gungrave,16/9/2002,RED Entertainment,Sega,Third Person Shooter,Rated M For Mature,7.7,24,PlayStation 2
Guild Wars 2: End of Dragons,28/2/2022,ArenaNet,NCSOFT,MMORPG,Rated T For Teen,7.4,120,PC
Star Wars: Jedi Starfighter,10/3/2002,LucasArts,LucasArts,Space Combat Sim,Rated T For Teen,8.5,23,PlayStation 2
Crusader Kings II: The Old Gods,28/5/2013,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,Not Rated,8.6,187,PC
WWE Crush Hour,17/3/2003,Pacific Coast Power & Light,THQ,Vehicle Combat Sim,Rated T For Teen,6.894852313,,GameCube
Dead Cells,7/8/2018,Motion Twin,Motion Twin,Metroidvania,Rated T For Teen,8.4,566,PC
Gemini: Heroes Reborn,18/1/2016,"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Rated T For Teen,5.5,22,PC
